Customer ID,Recency,Frequency,TotalQuantity,MonetaryValue,AvgOrderValue,CLV,Predicted_CLV,Segment
12346.0,326,12,74285,77556.46,2281.0723529411766,77556.46,77780.85,High
12347.0,2,8,3286,5633.32,22.26608695652174,5633.32,5669.293,High
12348.0,75,5,2714,2019.4,39.596078431372554,2019.4,2629.785,High
12349.0,19,4,1624,4428.69,25.3068,4428.69,3567.5452,High
12350.0,310,1,197,334.4,19.670588235294115,334.4,349.09164,Low
12351.0,375,1,261,300.93,14.33,300.93,397.75772,Mid-Low
12352.0,36,10,724,2849.84,27.668349514563108,2849.84,2228.424,Mid-High
12353.0,204,2,212,406.76,16.948333333333334,406.76,401.42804,Mid-Low
12354.0,232,1,530,1079.4,18.610344827586207,1079.4,857.40125,Mid-Low
12355.0,214,2,543,947.61,27.074571428571428,947.61,959.99884,Mid-High
12356.0,23,6,3417,6373.68,44.57118881118881,6373.68,6401.2456,High
12357.0,33,3,6587,18287.66,61.78263513513514,18287.66,18094.582,High
12358.0,2,5,1079,3887.07,50.48142857142857,3887.07,3042.7336,High
12359.0,58,10,2752,8935.94,24.482027397260275,8935.94,6783.193,High
12360.0,52,8,2459,4252.89,19.59857142857143,4252.89,4559.3247,High
12361.0,287,4,235,511.25,17.629310344827587,511.25,658.25604,Mid-Low
12362.0,3,11,2230,5356.23,20.06078651685393,5356.23,4555.655,High
12363.0,110,2,408,552.0,24.0,552.0,801.8082,Mid-Low
12364.0,8,4,1506,1313.1,15.448235294117646,1313.1,1577.0421,Mid-High
12365.0,291,2,174,641.38,29.153636363636362,641.38,506.42584,Mid-Low
12366.0,634,1,296,500.24,166.74666666666667,500.24,697.06537,Mid-Low
12367.0,4,1,173,168.9,15.354545454545455,168.9,200.1977,Low
12368.0,628,1,330,917.6999999999999,50.98333333333333,917.6999999999999,802.04126,Mid-Low
12369.0,413,3,1241,1791.15,19.25967741935484,1791.15,1637.4557,Mid-High
12370.0,51,7,2605,4320.31,21.387673267326736,4320.31,4284.2695,High
12371.0,45,5,1436,4067.38,24.35556886227545,4067.38,3455.4922,High
12372.0,72,3,794,1298.04,24.962307692307693,1298.04,1329.2998,Mid-High
12373.0,311,3,516,1127.65,22.110784313725492,1127.65,1072.9982,Mid-High
12374.0,25,4,1362,2989.2200000000003,36.01469879518073,2989.2200000000003,2394.8345,High
12375.0,11,2,178,457.5,26.91176470588235,457.5,442.14258,Mid-Low
12376.0,390,2,240,503.15,38.70384615384615,503.15,583.54114,Mid-Low
12377.0,315,4,2105,3426.32,22.54157894736842,3426.32,3037.7761,High
12378.0,130,2,3316,5416.32,17.994418604651162,5416.32,5368.0664,High
12379.0,82,4,815,1620.22,20.002716049382716,1620.22,1370.3412,Mid-High
12380.0,22,11,3355,9676.300000000001,34.93249097472925,9676.300000000001,7267.294,High
12381.0,5,5,808,1845.31,21.21045977011494,1845.31,1655.8386,Mid-High
12383.0,185,5,1532,1850.56,18.69252525252525,1850.56,2124.913,Mid-High
12384.0,29,2,126,585.27,21.676666666666666,585.27,454.7809,Mid-Low
12385.0,379,1,612,1938.4,29.821538461538463,1938.4,984.97754,Mid-High
12386.0,338,2,568,660.8,36.71111111111111,660.8,1043.5126,Mid-High
12387.0,415,1,134,143.94,15.993333333333332,143.94,246.97537,Low
12388.0,16,8,2001,3901.11,26.719931506849317,3901.11,3819.2175,High
12389.0,403,3,614,1433.33,29.251632653061222,1433.33,1343.6432,Mid-High
12390.0,80,1,353,549.84,17.1825,549.84,525.59796,Mid-Low
12391.0,22,6,1220,2773.42,9.86982206405694,2773.42,1957.1359,Mid-High
12392.0,591,1,73,234.75000000000003,33.53571428571429,234.75000000000003,222.20184,Low
12393.0,72,6,1311,2399.4500000000003,22.42476635514019,2399.4500000000003,2103.74,Mid-High
12394.0,64,2,819,1272.48,47.12888888888889,1272.48,1509.0405,Mid-High
12395.0,19,15,3733,5067.27,19.94988188976378,5067.27,5818.184,High
12396.0,674,1,591,931.43,14.329692307692307,931.43,728.86633,Mid-Low
12397.0,36,2,1263,2409.9,19.126190476190477,2409.9,2011.8009,Mid-High
12398.0,46,1,1394,1635.6599999999999,19.24305882352941,1635.6599999999999,1904.6708,Mid-High
12399.0,119,7,2198,1962.3,17.83909090909091,1962.3,2859.8074,High
12400.0,414,1,91,205.25,18.65909090909091,205.25,245.39949,Low
12401.0,303,1,11,84.3,16.86,84.3,97.73961,Low
12402.0,323,6,584,1256.9,17.955714285714286,1256.9,1159.6078,Mid-High
12403.0,50,2,260,1019.36,113.26222222222222,1019.36,914.0271,Mid-High
12404.0,682,1,1,63.24,63.24,63.24,84.62516,Low
12405.0,149,1,857,1710.39,31.67388888888889,1710.39,1254.8258,Mid-High
12406.0,22,5,3416,6390.36,38.49614457831325,6390.36,6378.457,High
12407.0,50,5,1416,1708.1200000000001,22.183376623376624,1708.1200000000001,1927.8595,Mid-High
12408.0,33,8,2229,4340.7699999999995,27.300440251572326,4340.7699999999995,4315.9307,High
12409.0,79,7,13143,23419.29,88.70943181818183,23419.29,23247.582,High
12410.0,309,3,341,1013.71,25.342750000000002,1013.71,826.921,Mid-Low
12411.0,410,1,138,346.9,15.768181818181818,346.9,246.97537,Low
12412.0,75,6,1997,2596.93,20.448267716535433,2596.93,3139.4626,High
12413.0,67,4,319,999.45,19.597058823529412,999.45,808.4864,Mid-Low
12414.0,217,6,495,952.41,34.01464285714285,952.41,1028.226,Mid-High
12415.0,24,28,91447,144458.37,156.00255939524837,144458.37,144151.66,High
12416.0,657,1,132,202.56,18.414545454545454,202.56,280.04257,Low
12417.0,3,20,2890,6816.91,18.42408108108108,6816.91,6392.758,High
12418.0,113,4,1088,2021.2,19.815686274509805,2021.2,1679.6765,Mid-High
12419.0,386,2,231,503.01,20.1204,503.01,508.6131,Mid-Low
12420.0,64,1,345,600.39,20.70310344827586,600.39,566.7234,Mid-Low
12421.0,16,6,652,1098.6,16.90153846153846,1098.6,1359.6304,Mid-High
12422.0,96,17,2596,5231.8,30.417441860465118,5231.8,5208.315,High
12423.0,1,10,1793,2622.39,15.893272727272727,2622.39,2663.379,High
12424.0,163,4,2025,3340.03,36.30467391304348,3340.03,2968.576,High
12425.0,78,2,1147,1741.41,19.136373626373626,1741.41,1579.3707,Mid-High
12426.0,195,2,584,1345.21,17.470259740259742,1345.21,862.3355,Mid-Low
12427.0,22,3,612,1129.3,27.54390243902439,1129.3,1136.0135,Mid-High
12428.0,26,9,3536,7956.46,27.062789115646257,7956.46,7634.372,High
12429.0,9,8,3344,7485.91,43.27115606936416,7485.91,7296.7427,High
12430.0,43,1,117,256.4,23.30909090909091,256.4,156.6222,Low
12431.0,36,27,4717,10857.97,26.8098024691358,10857.97,7840.689,High
12432.0,43,5,1801,5059.32,46.845555555555556,5059.32,4939.4927,High
12433.0,1,10,17116,20581.26,29.151926345609063,20581.26,20821.146,High
12434.0,85,3,532,1103.43,15.763285714285715,1103.43,931.53,Mid-High
12435.0,80,6,4958,13925.93,124.33866071428572,13925.93,3732.4622,High
12436.0,100,1,211,509.01,31.813125,509.01,369.09525,Low
12437.0,2,39,8000,12683.4,22.52824156305506,12683.4,14664.489,High
12438.0,14,2,1180,2906.85,29.66173469387755,2906.85,2514.4663,High
12439.0,683,2,484,1158.18,16.085833333333333,1158.18,812.07587,Mid-Low
12440.0,462,2,331,859.2,26.85,859.2,691.99963,Mid-Low
12441.0,367,1,242,347.1,15.77727272727273,347.1,415.351,Mid-Low
12442.0,3,1,182,172.06,14.338333333333333,172.06,175.93042,Low
12443.0,732,1,182,485.31,23.11,485.31,347.3369,Low
12444.0,21,5,1153,5005.46,28.440113636363638,5005.46,3262.7886,High
12445.0,22,2,206,434.98,18.124166666666667,434.98,392.50946,Mid-Low
12446.0,58,1,351,1002.3100000000001,17.584385964912283,1002.3100000000001,538.62994,Mid-Low
12447.0,243,1,190,476.49,18.326538461538462,476.49,355.15564,Low
12448.0,44,1,243,449.45,20.429545454545455,449.45,457.30127,Mid-Low
12449.0,22,6,2282,4835.89,24.05915422885572,4835.89,4828.2773,High
12450.0,156,5,442,688.2,18.6,688.2,989.21857,Mid-High
12451.0,11,8,9359,12669.88,24.794285714285714,12669.88,12922.595,High
12452.0,17,2,185,430.57,19.571363636363635,430.57,257.98874,Low
12453.0,134,1,473,707.09,16.443953488372095,707.09,620.55383,Mid-Low
12454.0,56,5,7703,16679.78,416.99449999999996,16679.78,6862.3857,High
12455.0,73,10,3302,5879.95,25.902863436123347,5879.95,5788.747,High
12456.0,44,3,1633,3181.04,25.44832,3181.04,3348.2432,High
12457.0,66,8,1094,2995.91,35.665595238095236,2995.91,2156.8655,Mid-High
12458.0,71,4,986,1777.49,21.160595238095237,1777.49,1783.2246,Mid-High
12459.0,605,1,258,454.36,19.754782608695653,454.36,480.06583,Mid-Low
12460.0,456,1,170,326.65,18.147222222222222,326.65,342.62973,Low
12461.0,94,2,287,826.88,23.62514285714286,826.88,699.58124,Mid-Low
12462.0,19,2,536,1189.59,19.186935483870965,1189.59,847.703,Mid-Low
12463.0,53,4,776,1344.78,16.202168674698793,1344.78,1276.7635,Mid-High
12464.0,10,8,112,1212.05,41.79482758620689,1212.05,1013.43536,Mid-High
12465.0,17,2,479,742.1899999999999,15.79127659574468,742.1899999999999,647.02246,Mid-Low
12466.0,682,1,1,56.73,56.73,56.73,130.4619,Low
12467.0,423,1,129,132.8,14.755555555555556,132.8,219.7812,Low
12468.0,188,5,2201,3670.74,24.4716,3670.74,4034.6333,High
12469.0,523,2,2552,3070.54,40.40184210526316,3070.54,3047.4563,High
12470.0,690,1,95,211.95,9.215217391304348,211.95,179.54666,Low
12471.0,2,79,16882,39963.79,35.148452066842566,39963.79,34934.92,High
12472.0,32,19,11350,17880.59,19.62743139407245,17880.59,18327.557,High
12473.0,29,5,2439,3938.5499999999997,23.443749999999998,3938.5499999999997,4137.102,High
12474.0,17,31,7954,12424.45,17.499225352112678,12424.45,11782.491,High
12475.0,54,2,771,1149.64,18.846557377049184,1149.64,1161.4524,Mid-High
12476.0,16,23,5645,14115.41,27.35544573643411,14115.41,13310.453,High
12477.0,23,9,6119,20276.37,35.95101063829787,20276.37,18333.42,High
12478.0,4,1,236,680.99,18.91638888888889,680.99,319.57846,Low
12479.0,11,1,385,527.2,17.006451612903227,527.2,576.36334,Mid-Low
12480.0,28,7,2952,5464.85,22.58202479338843,5464.85,5397.3193,High
12481.0,23,15,7253,12361.39,31.61480818414322,12361.39,12433.92,High
12482.0,576,29,27042,23691.4,116.1343137254902,23691.4,21889.46,High
12483.0,17,19,2172,5120.58,36.83870503597122,5120.58,5234.416,High
12484.0,33,12,3271,6370.15,13.410842105263157,6370.15,6195.9976,High
12485.0,529,1,414,708.1,20.826470588235296,708.1,734.6189,Mid-Low
